cat_prod_id;scat_prod_id
0;0
1;1
1;2
1;3
1;4
1;5
1;6
1;7
1;8
1;9
1;10
1;11
1;12
1;13
1;14
1;15
2;8
2;17
3;18
3;19
3;20
3;21
3;22
3;23
4;24
4;25
5;26
5;27
5;28
5;29
5;30
5;31
5;32
5;33
5;34
6;35
6;36
6;37
6;38
6;39
6;40
6;41
6;42
6;43
6;44
6;45
6;46
6;47
6;48
6;49
6;50
6;51
6;52
7;8
7;9
7;55
7;10
8;57
8;58
8;59
8;60
8;61
8;62
8;63
8;64
8;65
8;66
8;67
8;68
8;69
8;70
8;71
8;72
9;73
9;74
9;75
9;76
9;77
9;78
9;79
9;80
9;81
9;82
9;83
9;84
9;85
9;86
9;87
9;88
9;89
9;90
9;91
9;92
9;93
9;94
9;95
9;96
9;97
10;98
10;99
10;100
10;101
10;102
10;103
10;104
10;105
10;106
11;107
11;108
11;109
11;110
11;111
11;112
11;113
11;114
11;115
11;116
11;117
11;118
11;119
11;120
11;121
11;122
12;123
12;124
12;125
12;126
12;127
12;128
12;129
12;130
13;131
13;132
13;133
13;134
13;135
13;136
13;137
13;138
13;139
13;140
13;141
13;142
14;143
14;144
14;145
14;146
15;147
16;148
16;149
16;150
16;151
16;152
16;153
16;154
16;155
16;156
16;157
16;158
16;159
16;160
16;161
16;162
16;163
